Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Tenure,Total_Children,Total_Spending
Graduation,Single,51381.5,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,74,179,3,124
PhD,In_Relationship,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,71,598,2,1319
Graduation,Single,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,68,48,1,507
Postgraduate,In_Relationship,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,61,687,0,1693
Graduation,Single,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,48,543,1,72
Graduation,Single,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,48,22,0,1617
Graduation,In_Relationship,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,47,382,2,606
Postgraduate,In_Relationship,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,70,587,0,1957
Graduation,Single,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,59,453,0,1093
Graduation,Single,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,37,62,1,29
Graduation,Single,51381.5,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,43,377,1,46
PhD,In_Relationship,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,57,118,1,518
Postgraduate,Single,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,43,360,0,1438
Graduation,In_Relationship,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,50,660,2,612
Graduation,Single,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,73,496,1,884
PhD,Single,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,74,383,1,606
Graduation,In_Relationship,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,77,205,0,1076
Graduation,In_Relationship,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,54,404,1,34
Graduation,In_Relationship,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,58,49,2,11
Postgraduate,Single,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,46,102,1,1274
Graduation,In_Relationship,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,67,275,1,653
Graduation,In_Relationship,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,55,447,3,1562
Postgraduate,In_Relationship,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,71,656,0,1253
Postgraduate,In_Relationship,51381.5,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,52,653,1,109
Graduation,In_Relationship,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,66,469,1,863
PhD,In_Relationship,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,50,450,2,661
Graduation,In_Relationship,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,73,60,0,65
Graduation,Single,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,48,557,1,13
Postgraduate,In_Relationship,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,53,671,0,1890
Graduation,Single,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,49,625,0,2209
Postgraduate,In_Relationship,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,49,298,0,18
Graduation,In_Relationship,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,60,543,0,692
Graduation,Single,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,40,669,1,165
Graduation,In_Relationship,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,56,371,1,16
Postgraduate,In_Relationship,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,52,361,1,79
Postgraduate,In_Relationship,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,62,414,0,318
Graduation,Single,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,38,124,0,778
Graduation,In_Relationship,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,65,322,2,56
Postgraduate,In_Relationship,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,55,348,2,151
Graduation,Single,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,68,32,1,372
Graduation,In_Relationship,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,52,48,0,1366
Graduation,In_Relationship,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,58,159,1,194
PhD,In_Relationship,51381.5,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,68,587,3,603
Graduation,Single,51381.5,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,68,33,2,18
Postgraduate,In_Relationship,51381.5,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,52,218,0,985
Postgraduate,Single,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,53,98,1,32
PhD,In_Relationship,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,55,36,1,43
Graduation,In_Relationship,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,42,38,1,45
Graduation,Single,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,65,584,1,606
Graduation,Single,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,53,444,2,63
Postgraduate,In_Relationship,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,74,210,0,978
PhD,In_Relationship,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,42,374,0,410
Postgraduate,Single,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,65,341,1,72
PhD,Single,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,66,91,1,55
Graduation,In_Relationship,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,46,435,1,1169
PhD,In_Relationship,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,80,408,0,1120
Graduation,In_Relationship,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,66,52,0,1097
Basic,In_Relationship,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,46,201,1,29
Graduation,In_Relationship,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,61,278,2,187
Graduation,In_Relationship,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,56,512,2,910
Graduation,Single,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,47,557,1,145
Postgraduate,In_Relationship,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,65,569,0,850
Graduation,In_Relationship,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,46,239,1,969
PhD,Single,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,34,596,0,1820
Postgraduate,In_Relationship,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,62,4,1,608
Graduation,Single,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,34,543,0,730
PhD,In_Relationship,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,45,564,1,551
Graduation,Single,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,63,292,2,114
Graduation,In_Relationship,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,55,156,0,1724
Postgraduate,In_Relationship,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,47,495,1,577
Postgraduate,In_Relationship,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,58,353,2,81
Graduation,In_Relationship,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,56,227,1,33
Postgraduate,In_Relationship,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,72,374,1,660
Postgraduate,Single,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,58,125,1,80
Postgraduate,In_Relationship,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,40,298,2,30
Graduation,Single,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,49,433,1,43
Graduation,Single,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,42,474,0,1135
Postgraduate,In_Relationship,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,60,496,0,559
Graduation,Single,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,41,434,0,1923
Postgraduate,In_Relationship,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,72,21,2,90
PhD,In_Relationship,51381.5,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,64,353,1,404
PhD,In_Relationship,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,69,50,2,661
Graduation,In_Relationship,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,73,272,1,463
Postgraduate,Single,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,67,476,2,632
Graduation,In_Relationship,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,56,139,0,725
Graduation,In_Relationship,51381.5,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,62,322,1,725
PhD,In_Relationship,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,61,319,2,279
PhD,In_Relationship,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,58,469,0,1482
Basic,Single,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,49,690,1,29
PhD,In_Relationship,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,66,357,3,106
PhD,Single,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,52,41,2,49
PhD,Single,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,60,336,2,38
Postgraduate,Single,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,33,618,0,2077
Postgraduate,In_Relationship,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,49,227,1,1053
Graduation,In_Relationship,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,63,436,0,1385
PhD,Single,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,51,305,1,871
Graduation,In_Relationship,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,37,467,1,312
Graduation,In_Relationship,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,49,619,2,877
Graduation,In_Relationship,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,50,609,1,68
Graduation,In_Relationship,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,44,305,1,22
Postgraduate,In_Relationship,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,52,676,3,211
Postgraduate,In_Relationship,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,59,8,0,127
Postgraduate,In_Relationship,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,72,66,2,459
Graduation,In_Relationship,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,56,114,1,460
Postgraduate,In_Relationship,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,53,562,1,429
Graduation,Single,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,37,48,1,89
PhD,In_Relationship,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,73,628,1,1021
Graduation,In_Relationship,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,76,495,0,1381
Graduation,Single,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,67,356,1,306
Graduation,Single,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,47,290,3,18
Graduation,In_Relationship,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,48,255,1,162
Graduation,Single,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,70,313,0,1231
Postgraduate,Single,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,67,363,3,13
PhD,In_Relationship,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,80,601,0,1706
Graduation,In_Relationship,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,41,175,1,121
PhD,Single,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,50,424,0,1293
PhD,In_Relationship,157243.0,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,52,120,1,1608
Graduation,In_Relationship,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,59,228,3,88
Graduation,Single,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,72,223,0,421
Graduation,Single,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,66,305,0,259
Graduation,Single,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,37,239,0,1117
Graduation,In_Relationship,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,68,124,2,89
Graduation,In_Relationship,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,60,69,2,36
Graduation,In_Relationship,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,43,351,1,57
Graduation,In_Relationship,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,55,69,2,148
PhD,In_Relationship,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,66,150,2,93
Graduation,Single,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,58,86,1,119
PhD,In_Relationship,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,50,655,1,1835
PhD,In_Relationship,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,77,560,0,1318
PhD,In_Relationship,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,55,37,2,45
Graduation,In_Relationship,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,66,5,3,10
Postgraduate,In_Relationship,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,74,210,0,978
PhD,In_Relationship,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,49,49,1,191
Postgraduate,In_Relationship,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,37,50,1,57
Postgraduate,In_Relationship,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,79,274,0,1033
Postgraduate,In_Relationship,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,41,158,1,66
Basic,In_Relationship,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,64,14,0,43
Graduation,In_Relationship,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,42,571,1,50
PhD,Single,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,55,113,1,39
Graduation,In_Relationship,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,59,331,1,608
Graduation,In_Relationship,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,49,467,0,1581
PhD,In_Relationship,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,61,491,2,68
Basic,In_Relationship,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,47,658,1,80
PhD,In_Relationship,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,36,408,0,1282
Postgraduate,Single,36640.0,99,15,6,8,7,4,25,1,2,1,2,5,0,0,0,0,0,1,0,125,276,1,65
Graduation,In_Relationship,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,37,395,1,91
Graduation,In_Relationship,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,52,496,2,315
Graduation,In_Relationship,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,48,182,2,31
Postgraduate,In_Relationship,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,45,47,0,834
Graduation,In_Relationship,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,71,283,0,1600
Graduation,In_Relationship,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,71,528,0,1270
PhD,Single,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,52,90,2,263
Graduation,Single,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,73,0,1,535
Graduation,Single,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,57,202,0,1295
Graduation,Single,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,47,258,1,1150
PhD,In_Relationship,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,48,604,0,1240
PhD,Single,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0,60,347,2,38
Postgraduate,Single,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1,41,596,0,35
Graduation,In_Relationship,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,0,37,203,1,53
Postgraduate,Single,48721.0,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0,62,412,2,293
Graduation,In_Relationship,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,59,21,1,65
Graduation,Single,64497.0,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1,71,657,1,1804
Graduation,In_Relationship,46097.0,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0,69,455,1,241
Graduation,In_Relationship,77972.0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,0,71,103,0,1101
PhD,In_Relationship,44377.0,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,0,57,632,2,264
Postgraduate,In_Relationship,46014.0,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,0,51,524,2,541
Graduation,In_Relationship,70951.0,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0,40,421,0,1198
Graduation,In_Relationship,41443.0,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,0,48,89,1,482
Postgraduate,Single,52195.0,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,47,48,3,17
Postgraduate,In_Relationship,83790.0,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,0,77,226,0,1615
